aid,reporting,reporting_ref,funder_ref,title,status_code,day_start,day_end,description,commitment,spend,commitment_eur,spend_eur,commitment_gbp,spend_gbp,commitment_cad,spend_cad,country_code,country_percent,sector_group,sector_code,sector_percent,location_code,location_name,location_longitude,location_latitude,location_precision,location_percent,iso3,iso2,activity_id
CH-4-2019001871,Swiss Agency for Development and Cooperation (SDC),CH-4,CH,Crédit global pour petites actions,Implementation,2001-10-01,2023-06-30,"Les crédits globaux pour petites actions permettent le financement d’opérations ponctuelles, peu coûteuses, significatives en termes de développement, à composantes diverses (techniques, sociales, organisationnelles et de gestion, politique, économique, informative, etc.)",48830.227,18334.734,43941.43,16499.092,37212.45,13972.5,64301.293,24143.797,Ukraine,100,Government & Civil Society-general,Decentralisation and support to subnational government,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=CH-4-2019001871
CH-4-2019001872,Swiss Agency for Development and Cooperation (SDC),CH-4,CH,Crédit global pour petites actions,Implementation,2001-10-01,2023-06-30,"Les crédits globaux pour petites actions permettent le financement d’opérations ponctuelles, peu coûteuses, significatives en termes de développement, à composantes diverses (techniques, sociales, organisationnelles et de gestion, politique, économique, informative, etc.)",19309.303,19309.303,17376.09,17376.09,14715.198,14715.198,25427.143,25427.143,Ukraine,100,Other Social Infrastructure & Services,Culture and recreation,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=CH-4-2019001872
CH-4-2019001875,Swiss Agency for Development and Cooperation (SDC),CH-4,CH,Crédit global pour petites actions,Implementation,2001-10-01,2023-06-30,"Les crédits globaux pour petites actions permettent le financement d’opérations ponctuelles, peu coûteuses, significatives en termes de développement, à composantes diverses (techniques, sociales, organisationnelles et de gestion, politique, économique, informative, etc.)",0,51105.92,0,45989.285,0,38946.707,0,67298,Ukraine,100,Unallocated / Unspecified,Sectors not specified,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=CH-4-2019001875
US-GOV-1-AID-121-G-00-04-00707,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2004-07-20,2024-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",13494000,8633837,12204634,7431030,10520070,6330806,17717958,10869327,Ukraine,100,Government & Civil Society-general,Human rights,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-121-G-00-04-00707
XI-IATI-UNPF-18-RR-IOM-021,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Provision of Lifesaving Non-Food Items and WASH a Support for the Most Vulnerable Households in Luhansk and Donetsk (NGCA),Implementation,2005-12-15,2030-12-31,Provision of Lifesaving Non-Food Items and WASH a Support for the Most Vulnerable Households in Luhansk and Donetsk (NGCA),0,2170039,0,1952778.4,0,1653739.2,0,2857580.5,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-18-RR-IOM-021
XI-IATI-UNPF-15-RR-CEF-065,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,WASH assistance to most vulnerable affected people in Donbass region of Eastern Ukraine,Implementation,2005-12-15,2030-12-31,WASH assistance to most vulnerable affected people in Donbass region of Eastern Ukraine,0,2493132,0,2292316.5,0,1663842.9,0,3418893.8,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-15-RR-CEF-065
XI-IATI-UNPF-XM-OCHA-CERF,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,CERF,Implementation,2005-12-15,2030-12-31,CERF,0,58709184,0,52806420,0,44260384,0,78004350,Ukraine,0.88105726,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-XM-OCHA-CERF
XI-IATI-UNPF-(18-RR-CHR-002),UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Protection of civilians living along the ‘contact line’ in NGCA in the context of armed hostilities in eastern Ukraine, and promotion of remedy and reparation to survivors",Implementation,2005-12-15,2030-12-31,"Protection of civilians living along the ‘contact line’ in NGCA in the context of armed hostilities in eastern Ukraine, and promotion of remedy and reparation to survivors",0,350058,0,307490.75,0,276049.6,0,470307.22,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-(18-RR-CHR-002)
XI-IATI-UNPF-15-RR-WHO-021,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Delivery of emergency, trauma and primary health care services",Implementation,2005-12-15,2030-12-31,"Delivery of emergency, trauma and primary health care services",0,1687699,0,1551759,0,1126320.6,0,2314383.5,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-15-RR-WHO-021
XI-IATI-UNPF-15-RR-WFP-038,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Delivery of emergency, trauma and primary health care services",Implementation,2005-12-15,2030-12-31,"Delivery of emergency, trauma and primary health care services",0,435226,0,400169.62,0,290457.03,0,596836.2,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-15-RR-WFP-038
XI-IATI-UNPF-15-RR-WFP-037,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Logistics Augmentation and Cluster Coordination in Response to Crisis in Ukraine,Implementation,2005-12-15,2030-12-31,Logistics Augmentation and Cluster Coordination in Response to Crisis in Ukraine,0,304115,0,279619.28,0,202957.39,0,417040.44,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-15-RR-WFP-037
XI-IATI-UNPF-18-RR-CHR-002,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Protection of civilians living along the â€˜contact lineâ€™ in NGCA in the context of armed hostilities in eastern Ukraine, and promotion of remedy and reparation to survivors",Implementation,2005-12-15,2030-12-31,"Protection of civilians living along the â€˜contact lineâ€™ in NGCA in the context of armed hostilities in eastern Ukraine, and promotion of remedy and reparation to survivors",0,350058,0,315010.78,0,266771.56,0,460968.2,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-18-RR-CHR-002
XI-IATI-UNPF-(18-RR-HCR-020),UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Protection and shelter for internally displaced and conflict affected persons in east Ukraine,Implementation,2005-12-15,2030-12-31,Protection and shelter for internally displaced and conflict affected persons in east Ukraine,0,849099,0,745848.06,0,669584.56,0,1140774.9,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-(18-RR-HCR-020)
XI-IATI-UNPF-18-RR-HCR-020,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Protection and shelter for internally displaced and conflict affected persons in east Ukraine,Implementation,2005-12-15,2030-12-31,Protection and shelter for internally displaced and conflict affected persons in east Ukraine,0,849099,0,764088.7,0,647079.8,0,1118122.2,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-18-RR-HCR-020
XI-IATI-UNPF-(18-RR-IOM-021),UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Provision of Lifesaving Non-Food Items and WASH a Support for the Most Vulnerable Households in Luhansk and Donetsk (NGCA),Implementation,2005-12-15,2030-12-31,Provision of Lifesaving Non-Food Items and WASH a Support for the Most Vulnerable Households in Luhansk and Donetsk (NGCA),0,2170039,0,1906161,0,1711254.6,0,2915474,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-(18-RR-IOM-021)
XI-IATI-UNPF-18-RR-CEF-067,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Provision of essential basic services for conflict affected children in non-government controlled areas of Donetsk and Luhansk,Implementation,2005-12-15,2030-12-31,Provision of essential basic services for conflict affected children in non-government controlled areas of Donetsk and Luhansk,0,1910750,0,1719449,0,1456140.9,0,2516140,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-18-RR-CEF-067
XI-IATI-UNPF-(18-RR-CEF-067),UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,Provision of essential basic services for conflict affected children in non-government controlled areas of Donetsk and Luhansk,Implementation,2005-12-15,2030-12-31,Provision of essential basic services for conflict affected children in non-government controlled areas of Donetsk and Luhansk,0,1910750,0,1678401.8,0,1506783.9,0,2567116,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-(18-RR-CEF-067)
XI-IATI-UNPF-18-RR-WHO-025,UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Delivery of emergency, trauma and essential emergency health care services in non-Government controlled area of eastern Ukraine July to December 2018",Implementation,2005-12-15,2030-12-31,"Delivery of emergency, trauma and essential emergency health care services in non-Government controlled area of eastern Ukraine July to December 2018",0,624666,0,562125.5,0,476044.3,0,822581.25,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-18-RR-WHO-025
XI-IATI-UNPF-(18-RR-WHO-025),UN Pooled Funds,XI-IATI-UNPF,XI-IATI-UNPF,"Delivery of emergency, trauma and essential emergency health care services in non-Government controlled area of eastern Ukraine July to December 2018",Implementation,2005-12-15,2030-12-31,"Delivery of emergency, trauma and essential emergency health care services in non-Government controlled area of eastern Ukraine July to December 2018",0,624666,0,548706.25,0,492600.62,0,839246.44,Ukraine,100,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=XI-IATI-UNPF-(18-RR-WHO-025)
FI-3-2012-2012000365,Ministry for Foreign Affairs of Finland,FI-3,FI,"Ukraine, PYM/FLC, East Europe Foundation, Partnerships for Cleaner Energy in Ukraine",Implementation,2007-02-01,2023-12-31,The aim of the project (40 000 e) is to incease energy efficiency and sustainable development in Dnipropetrovsk oblast. Energy-saving operations to communal buildings will be financed by funds provided by local authorities and enterprises and this FLC proj\nect. In addition to this the project aims at increasing awareness about saving energy and alternative energy and helps the Oblast to prepare a strategy for decreasing its energy consumption.,54807.758,54807.758,40000,40000,33447.45,33447.45,58313.16,58313.16,Ukraine,100,920,Support to national NGOs,100,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=FI-3-2012-2012000365
US-GOV-1-720202251689,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID Pay and Benefits,Implementation,2007-10-01,2023-09-30,Administrative costs and operating expenses of USAID contributing to Payrolls and Benefits.,347845800,306715740,326182180,285078980,283243200,246734990,469842620,410932060,Ukraine,1.0550091,,,,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-720202251689
SE-0-SE-6-7150005001-UKR-23110,Sweden,SE-0,SE,Nefco Technical Assistance Fund Ukraine (2008-2028),Implementation,2008-04-01,2028-12-31,"The Sida-NEFCO Ukraine Consultant Trust Fund was established 18 April 2008, when Sida agreed to make available 2 MSEK to fund consultancy services, to support strategic cooperation with the Government of Ukraine in order to promote efficiency in district heating. Through a number of amendments and restatements the fund was replenished to a 109.8 MSEK by the end of 2017. The purpose of the fund is to support identification, preparation, implementation and supervision of environmental projects in Ukraine being priorities of the Eastern Europe Energy Efficiency and Environment Partnership (E5P) and/or related to potential NEFCO financed projects and programs of Swedish interest in Ukraine aiming at benefitting environmentally, technically and financially sound environment and energy investments.\nOver the period of 2008-2017 the fund has been instrumental in: support to preparation and implementation of DemoUkrainaDH with 6 completed projects in 2017 and more in the pipeline, support to development of energy efficiency projecst co-financed by E5P, support to project development to support cleaner production and energy efficiency improvements in public buildings through the NEFCO Credit for Cleaner Production and the NEFCO Energy Savings Credit, financing the environmental projects monitoring and evaluation position at NEFCO.\nFurther developments of NEFCO operations in Ukraine that is intended to be supported with thechnical assistance through the resources of the fund include:\n- The Nordic energy efficiency and humanitarian initiative for Ukraine programme. This includes projects addressing energy efficiency measures in schools, kindergartens and health institutions as well as street lightning in the government controlled areas of Donetsk and Lugansk regions and in the surrounding regions receiving a major influx of internally displaced persons (IDPs) from the conflict area.\n- The Ukraine Higher Education Project is an initiative of NEFCO, EIB and Ministry for Education and Science of Ukraine for a 160 MEUR programme for modernisation and energy efficiency improvement of universities and other higher education facilities in Ukraine. \n- New initiatives directed on a continuation of efforts in municipal services, mainly related to improved energy efficiency in district heating and in public buildings, as well as initiatives to expand the focus of energy efficiency improvement. \n- Program for further support of district heating in Ukraine, as a continuation of the efforts initiated with the DemoUkrainaDH programme. \n- A sector study for opportunities for integrated agricultural and bioenergy projects to support Waste-to-Energy in Ukraine based on NEFCO’s work with agricultural open burning problems within the context of the Barents and Arctic programmes in the region.\nAdditional resources placed in the fund for technical assistance will enable NEFCO to finance fees, travel and other reimbursable costs of consultancy companies, engaged by NEFCO in Ukraine, secondment of staff to NEFCO, for the development, implementation, monitoring and supervision of potential NEFCO projects and programmes or other such projects and programmes of Swedish interest in Ukraine. Typical assignments to be financed from the resources of the fund include: scoping missions, feasibility studies, project implementation support etc.",22201596,18596168,16510288,15440358,14937451,13051168,27393940,22269536,Ukraine,100,Energy Policy,,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-7150005001-UKR-23110
SE-0-SE-6-7150005001-UKR-23110,Sweden,SE-0,SE,Nefco Technical Assistance Fund Ukraine (2008-2028),Implementation,2008-04-01,2028-12-31,"The Sida-NEFCO Ukraine Consultant Trust Fund was established 18 April 2008, when Sida agreed to make available 2 MSEK to fund consultancy services, to support strategic cooperation with the Government of Ukraine in order to promote efficiency in district heating. Through a number of amendments and restatements the fund was replenished to a 109.8 MSEK by the end of 2017. The purpose of the fund is to support identification, preparation, implementation and supervision of environmental projects in Ukraine being priorities of the Eastern Europe Energy Efficiency and Environment Partnership (E5P) and/or related to potential NEFCO financed projects and programs of Swedish interest in Ukraine aiming at benefitting environmentally, technically and financially sound environment and energy investments.\nOver the period of 2008-2017 the fund has been instrumental in: support to preparation and implementation of DemoUkrainaDH with 6 completed projects in 2017 and more in the pipeline, support to development of energy efficiency projecst co-financed by E5P, support to project development to support cleaner production and energy efficiency improvements in public buildings through the NEFCO Credit for Cleaner Production and the NEFCO Energy Savings Credit, financing the environmental projects monitoring and evaluation position at NEFCO.\nFurther developments of NEFCO operations in Ukraine that is intended to be supported with thechnical assistance through the resources of the fund include:\n- The Nordic energy efficiency and humanitarian initiative for Ukraine programme. This includes projects addressing energy efficiency measures in schools, kindergartens and health institutions as well as street lightning in the government controlled areas of Donetsk and Lugansk regions and in the surrounding regions receiving a major influx of internally displaced persons (IDPs) from the conflict area.\n- The Ukraine Higher Education Project is an initiative of NEFCO, EIB and Ministry for Education and Science of Ukraine for a 160 MEUR programme for modernisation and energy efficiency improvement of universities and other higher education facilities in Ukraine. \n- New initiatives directed on a continuation of efforts in municipal services, mainly related to improved energy efficiency in district heating and in public buildings, as well as initiatives to expand the focus of energy efficiency improvement. \n- Program for further support of district heating in Ukraine, as a continuation of the efforts initiated with the DemoUkrainaDH programme. \n- A sector study for opportunities for integrated agricultural and bioenergy projects to support Waste-to-Energy in Ukraine based on NEFCO’s work with agricultural open burning problems within the context of the Barents and Arctic programmes in the region.\nAdditional resources placed in the fund for technical assistance will enable NEFCO to finance fees, travel and other reimbursable costs of consultancy companies, engaged by NEFCO in Ukraine, secondment of staff to NEFCO, for the development, implementation, monitoring and supervision of potential NEFCO projects and programmes or other such projects and programmes of Swedish interest in Ukraine. Typical assignments to be financed from the resources of the fund include: scoping missions, feasibility studies, project implementation support etc.",22201596,18596168,16510288,15440358,14937451,13051168,27393940,22269536,Ukraine,100,Energy Policy,Energy policy and administrative management,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-7150005001-UKR-23110
SE-0-SE-6-5306001801-UKR-41010,Sweden,SE-0,SE,EBRD SWUK 1 (2009) - Energy Efficiency and Environment Cooperation Fund,Implementation,2009-07-30,2023-12-31,EBRD TA fund for Ukraine. The objective is to prepare feasability     studies for investment projects eligable for E5P grants.,26335788,26851446,18027886,21215174,16215844,17823808,27754804,30122762,Ukraine,100,General Environment Protection,,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-5306001801-UKR-41010
SE-0-SE-6-5306001802-UKR-23183,Sweden,SE-0,SE,EBRD SWUK 1 (2009) - Energy Efficiency and Environment Cooperation Fund,Implementation,2009-07-30,2023-12-31,EBRD TA fund for Ukraine. The objective is to prepare feasability     studies for investment projects eligable for E5P grants.,1965357.2,1586311.2,1345364.6,1427492.4,1210137.6,1208893.1,2071254,2088908.1,Ukraine,100,Energy Policy,,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-5306001802-UKR-23183
SE-0-SE-6-5306001802-UKR-23183,Sweden,SE-0,SE,EBRD SWUK 1 (2009) - Energy Efficiency and Environment Cooperation Fund,Implementation,2009-07-30,2023-12-31,EBRD TA fund for Ukraine. The objective is to prepare feasability     studies for investment projects eligable for E5P grants.,1965357.2,1586311.2,1345364.6,1427492.4,1210137.6,1208893.1,2071254,2088908.1,Ukraine,100,Energy Policy,Energy conservation and demand-side efficiency,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-5306001802-UKR-23183
SE-0-SE-6-5306001801-UKR-41010,Sweden,SE-0,SE,EBRD SWUK 1 (2009) - Energy Efficiency and Environment Cooperation Fund,Implementation,2009-07-30,2023-12-31,EBRD TA fund for Ukraine. The objective is to prepare feasability     studies for investment projects eligable for E5P grants.,26335788,26851446,18027886,21215174,16215844,17823808,27754804,30122762,Ukraine,100,General Environment Protection,Environmental policy and administrative management,50,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=SE-0-SE-6-5306001801-UKR-41010
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,Government & Civil Society-general,Human rights,0.42734554,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,Other Social Infrastructure & Services,Social Protection,1.3529563,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,Water Supply & Sanitation,Basic drinking water supply and basic sanitation,0,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,Emergency Response,Material relief assistance and services,0.13446133,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,Communications,Communications policy and administrative management,0.13231933,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
US-GOV-1-AID-GHA-G-00-09-00003,U.S. Agency for International Development,US-GOV-1,US-GOV-1,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Implementation,2009-09-11,2023-06-30,"This program supports the Mission's goal for an independent, prosperous, and healthy Ukraine united around core European values in one or more of the following sectors: strengthening of democratic governance, and more inclusive, sustainable, market-driven economic growth.",479295200,578877950,411708860,497891740,346782430,420662370,605059460,734500540,Ukraine,2.408217,"Health, General",Health policy and administrative management,0.049621485,,,,,,,UKR,UA,http://d-portal.org/q.html?aid=US-GOV-1-AID-GHA-G-00-09-00003
